or_name,ee_name,deal_date,n_patents,seller_cik,buyer_cik,deal_id,filer_cik,sec_start,sec_end
AMAZONCOM INC,A9COM INC,2004-08-10,20,1018724.0,,27,1018724.0,2004-05-12,2004-11-08
AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,III HOLDINGS 1 LLC,2014-03-24,81,4962.0,,28,4962.0,2013-12-24,2014-06-22
AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,XATRA FUND MX LLC,2007-10-17,26,4962.0,,29,4962.0,2007-07-19,2008-01-15
AMERICAN MEDICAL SYSTEMS INC,AMS RESEARCH CORPORATION,2003-07-14,21,856982.0,,30,856982.0,2003-04-15,2003-10-12
AMINI PEIMAN,NETGEAR INC,2018-12-18,22,,1122904.0,31,1122904.0,2018-09-19,2019-03-18
AMIRA PHARMACEUTICALS INC,PANMIRA PHARMACEUTICALS LLC,2011-09-02,54,1904286.0,,32,1904286.0,2011-06-04,2011-12-01
AMKOR TECHNOLOGY INC,AMKOR TECHNOLOGY SINGAPORE HOLDING PTE LTD,2019-01-01,31,1047127.0,,33,1047127.0,2018-10-03,2019-04-01
AMKOR TECHNOLOGY INC,AMKOR TECHNOLOGY SINGAPORE HOLDING PTE LTD,2019-11-19,77,1047127.0,,34,1047127.0,2019-08-21,2020-02-17
AMKOR TECHNOLOGY INC,AMKOR TECHNOLOGY SINGAPORE HOLDING PTELTD,2019-11-19,20,1047127.0,,35,1047127.0,2019-08-21,2020-02-17
AMKOR TECHNOLOGY KOREA INC,AMKOR TECHNOLOGY SINGAPORE HOLDING PTE LTD,2019-12-17,31,1047127.0,,36,1047127.0,2019-09-18,2020-03-16
AN HYEONJEONG,LG ELECTRONICS INC,2017-04-04,33,,2058873.0,37,2058873.0,2017-01-04,2017-07-03
ANALOG DEVICES INC,INVENSENSE INC,2013-10-31,22,6281.0,,38,6281.0,2013-08-02,2014-01-29
ANALOG DEVICES INC,MEDIATEK INC,2008-01-29,26,6281.0,,39,6281.0,2007-10-31,2008-04-28
ANDERSON MOLLY,APPLE INC,2020-06-30,20,,320193.0,40,320193.0,2020-04-01,2020-09-28
ANDRE BARTLEY K,APPLE COMPUTER INC,2005-10-20,22,,320193.0,41,320193.0,2005-07-22,2006-01-18
ANDRE BARTLEY K,APPLE INC,2007-12-21,29,,320193.0,42,320193.0,2007-09-22,2008-03-20
ANDRE BARTLEY K,APPLE INC,2014-12-11,21,,320193.0,43,320193.0,2014-09-12,2015-03-11
ANDRE BARTLEY K,APPLE INC,2015-01-19,38,,320193.0,44,320193.0,2014-10-21,2015-04-19
ANDRE BARTLEY K,APPLE INC,2020-08-24,20,,320193.0,45,320193.0,2020-05-26,2020-11-22
ANDRE BARTLEY K,APPLE INC,2020-11-04,28,,320193.0,46,320193.0,2020-08-06,2021-02-02
ANNATI RICHARD E,CATERPILLAR INC,2015-03-06,20,,18230.0,47,18230.0,2014-12-06,2015-06-04
ANTENNA DESIGN NEW YORK INC,AMGEN INC,2017-06-28,23,,318154.0,48,318154.0,2017-03-30,2017-09-26
AOYAGI SHOTA,APPLE INC,2014-12-08,21,,320193.0,49,320193.0,2014-09-09,2015-03-08
AOYAGI SHOTA,APPLE INC,2015-01-19,43,,320193.0,50,320193.0,2014-10-21,2015-04-19
AOYAGI SHOTA,APPLE INC,2020-06-30,20,,320193.0,51,320193.0,2020-04-01,2020-09-28
APPLIED MATERIALS INC,SOKUDO CO LTD,2006-07-20,48,6951.0,,52,6951.0,2006-04-21,2006-10-18
ARCTIC SAND TECHNOLOGIES INC,PEREGRINE SEMICONDUCTOR CORPORATION,2017-08-14,52,1321834.0,,53,1321834.0,2017-05-16,2017-11-12
ARCTURUS BIOSCIENCE INC,MOLECULAR DEVICES CORPORATION,2006-04-03,30,1724521.0,,54,1724521.0,2006-01-03,2006-07-02
ARGADE ANKUSH,RIGEL PHARMACEUTICALS INC,2003-03-04,20,,1034842.0,55,1034842.0,2002-12-04,2003-06-02
ARGUE STUART,WALMART STORES INC,2012-10-31,20,,104169.0,56,104169.0,2012-08-02,2013-01-29
ARGUE STUART,WALMART STORES INC,2012-12-18,20,,104169.0,57,104169.0,2012-09-19,2013-03-18
ARIMILLI LAKSHMINARAYANA B,INTERNATIONAL BUSINESS MACHINES CORPORATION,2008-01-31,25,,51143.0,58,51143.0,2007-11-02,2008-04-30
ARIMILLI RAVI K,INTERNATIONAL BUSINESS MACHINES CORPORATION,1997-04-14,20,,51143.0,59,51143.0,1997-01-14,1997-07-13
ARIMILLI RAVI K,INTERNATIONAL BUSINESS MACHINES CORPORATION,1999-11-08,31,,51143.0,60,51143.0,1999-08-10,2000-02-06
ARIMILLI RAVI K,INTERNATIONAL BUSINESS MACHINES CORPORATION,2008-01-31,65,,51143.0,61,51143.0,2007-11-02,2008-04-30
ARLING PAUL D,UNIVERSAL ELECTRONICS INC,2013-12-23,28,,101984.0,62,101984.0,2013-09-24,2014-03-23
ARNDT RICHARD LOUIS,INTERNATIONAL BUSINESS MACHINES CORPORATION,2005-02-23,20,,51143.0,63,51143.0,2004-11-25,2005-05-24
ARNELL PETER E,PEPSICO INC,2008-12-23,72,,77476.0,64,77476.0,2008-09-24,2009-03-23
ARROWHEAD MADISON INC,ARROWHEAD PHARMACEUTICALS INC,2016-06-20,21,,879407.0,65,879407.0,2016-03-22,2016-09-18
ARTERIS SAS,QUALCOMM TECHNOLOGIES INC,2013-10-11,38,,1321834.0,66,1321834.0,2013-07-13,2014-01-09
ARUBA NETWORKS INC,HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP,2017-11-15,33,,1645590.0,67,1645590.0,2017-08-17,2018-02-13
ASHCROFT ANTHONY MICHAEL,APPLE INC,2014-12-08,22,,320193.0,68,320193.0,2014-09-09,2015-03-08
ASHCROFT ANTHONY MICHAEL,APPLE INC,2015-01-19,38,,320193.0,69,320193.0,2014-10-21,2015-04-19
ASHCROFT ANTHONY MICHAEL,APPLE INC,2020-07-01,20,,320193.0,70,320193.0,2020-04-02,2020-09-29
ASHWELL SUSAN,FORMA THERAPEUTICS INC,2016-06-16,20,,1001316.0,71,1001316.0,2016-03-18,2016-09-14
ASYST TECHNOLOGIES INC,ENTEGRIS CAYMAN LTD,2003-05-09,24,1321834.0,,72,1321834.0,2003-02-08,2003-08-07
AT DEVELOPMENT SWITZERLAND SÀRL,ADC THERAPEUTICS SA,2016-08-30,20,,1771910.0,73,1771910.0,2016-06-01,2016-11-28
ATHENA NEUROSCIENCES INC,ELAN PHARMACEUTICALS INC,2009-09-16,21,,1023024.0,74,1023024.0,2009-06-18,2009-12-15
ATT CORP,LUCENT TECHNOLOGIES INC,1996-03-29,113,,1726079.0,75,1726079.0,1995-12-30,1996-06-27
ATT DELAWARE INTELLECTUAL PROPERTY INC,ATT INTELLECTUAL PROPERTY I LP,2008-06-30,55,732717.0,,76,732717.0,2008-04-01,2008-09-28
ATT DELAWARE INTELLECTUAL PROPERTY INC,ATT INTELLECTUAL PROPERTY I LP,2009-08-24,54,732717.0,,77,732717.0,2009-05-26,2009-11-22
ATT DELAWARE INTELLECTUAL PROPERTY INC,ATT INTELLECTUAL PROPERTY I LP,2012-01-31,31,732717.0,,78,732717.0,2011-11-02,2012-04-30
ATT DELAWARE INTELLECTUAL PROPERTY INC,ATT INTELLECTUAL PROPERTY I LP,2013-05-08,119,732717.0,,79,732717.0,2013-02-07,2013-08-06
ATT DELAWARE INTELLECTUAL PROPERTY INC FKA ATT BLS INTELLECTUAL PROPERTY INC FKA ATT INTELLECTUAL PROPERTY INC FKA BELLSOUTH INTELLECTUAL PROPERTY CORPORATION,ATT INTELLECTUAL PROPERTY I LP,2008-12-10,51,732717.0,,80,732717.0,2008-09-11,2009-03-10
ATT DELAWARE INTELLECTUAL PROPERTY INC FORMERLY KNOWN AS ATT BLS INTELLECTUAL PROPERTY INC WHICH WAS FORMERLY KNOWN AS ATT INTELLECTUAL PROPERTY INC WHICH WAS FORMERLY KNOWN AS BELLSOUTH INTELLECTUAL PROPERTY CORPORATION,ATT INTELLECTUAL PROPERTY I LP,2008-10-15,32,732717.0,,81,732717.0,2008-07-17,2009-01-13
BABIARZ JOSHUA,NATERA INC,2015-04-20,32,,1604821.0,82,1604821.0,2015-01-20,2015-07-19
BAE JAEIL,LG ELECTRONICS INC,2020-02-07,37,,2058873.0,83,2058873.0,2019-11-09,2020-05-07
BAE SEHWAN,LG ELECTRONICS INC,2020-01-08,24,,2058873.0,84,2058873.0,2019-10-10,2020-04-07
BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC,FRANTORF INVESTMENTS GMBH LLC,2008-08-26,35,708781.0,,85,708781.0,2008-05-28,2008-11-24
BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC,WISTERIUM DEVELOPMENT LLC,2009-07-23,24,708781.0,,86,708781.0,2009-04-24,2009-10-21
BAE YONGJUN,LG ELECTRONICS INC,2021-03-30,40,,2058873.0,87,2058873.0,2020-12-30,2021-06-28
BAI AILIN,MODERNATX INC,2018-08-31,22,,1682852.0,88,1682852.0,2018-06-02,2018-11-29
BAKKE BRIAN E,INTERNATIONAL BUSINESS MACHINES CORPORATION,2014-11-19,24,,51143.0,89,51143.0,2014-08-21,2015-02-17
BALLARD POWER SYSTEMS INC,AUDI AG,2015-05-06,23,1453015.0,,90,1453015.0,2015-02-05,2015-08-04
BAMBROGAN BROGAN,HYPERLOOP TECHNOLOGIES INC,2016-01-26,24,,1321834.0,91,1321834.0,2015-10-28,2016-04-25
BANIK GARY J,WOLVERINE WORLD WIDE INC,2008-01-10,20,,110471.0,92,110471.0,2007-10-12,2008-04-09
BANKER ADAM NATHAN,FORD GLOBAL TECHNOLOGIES LLC,2013-01-22,27,,932021.0,93,932021.0,2012-10-24,2013-04-22
BASSO ANDREA,ATT LABS INC,2008-07-21,25,,732717.0,94,732717.0,2008-04-22,2008-10-19
BATAILLE MARINE C,APPLE INC,2020-07-01,20,,320193.0,95,320193.0,2020-04-02,2020-09-29
BATAILLOU JEREMY,APPLE INC,2014-12-09,21,,320193.0,96,320193.0,2014-09-10,2015-03-09
BATAILLOU JEREMY,APPLE INC,2015-01-26,39,,320193.0,97,320193.0,2014-10-28,2015-04-26
BATAILLOU JEREMY,APPLE INC,2020-08-12,20,,320193.0,98,320193.0,2020-05-14,2020-11-10
BATAILLOU JEREMY,APPLE INC,2020-11-30,27,,320193.0,99,320193.0,2020-09-01,2021-02-28
BATTEY ROBERT J,STEELCASE INC,2012-10-29,22,,1050825.0,100,1050825.0,2012-07-31,2013-01-27
BAXTER INTERNATIONAL INC,BAXALTA GMBH,2015-08-11,121,10456.0,,101,10456.0,2015-05-13,2015-11-09
BAXTER INTERNATIONAL INC,BAXALTA INCORPORATED,2015-08-11,121,10456.0,,102,10456.0,2015-05-13,2015-11-09
BAYS F BARRY,TREACE MEDICAL CONCEPTS INC,2016-10-18,23,,1630627.0,103,1630627.0,2016-07-20,2017-01-16
BAZINSKI ANDREW,FORD GLOBAL TECHNOLOGIES LLC,2019-03-27,23,,932021.0,104,932021.0,2018-12-27,2019-06-25
BEAMAN BRIAN S,INTERNATIONAL BUSINESS MACHINES CORPORATION,1993-05-04,38,,51143.0,105,51143.0,1993-02-03,1993-08-02
BEAUSOLEIL SEAN,DROPBOX INC,2016-02-19,20,,1467623.0,106,1467623.0,2015-11-21,2016-05-19
BECKMAN BRIAN C,AMAZON TECHNOLOGIES INC,2016-01-15,20,,1321834.0,107,1321834.0,2015-10-17,2016-04-14
BEE JENNIFER,NIKE INC,2018-10-26,20,,320187.0,108,320187.0,2018-07-28,2019-01-24
BEENAU BLAYN W,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,2004-07-01,20,,4962.0,109,4962.0,2004-04-02,2004-09-29
BEHMER DARRELL P,FORD GLOBAL TECHNOLOGIES LLC,2016-12-19,21,,932021.0,110,932021.0,2016-09-20,2017-03-19
BEHMER DARRELL P,FORD GLOBAL TECHNOLOGIES LLC,2018-03-28,20,,932021.0,111,932021.0,2017-12-28,2018-06-26
BEHMER DARRELL PAUL,FORD GLOBAL TECHNOLOGIES LLC,2016-01-05,23,,932021.0,112,932021.0,2015-10-07,2016-04-04
BELL HELICOPTER RHODE ISLAND INC,TEXTRON INNOVATIONS INC,2018-01-10,21,,217346.0,113,217346.0,2017-10-12,2018-04-10
BELL HELICOPTER RHODE ISLAND INC,TEXTRON INNOVATIONS INC,2019-01-10,49,,217346.0,114,217346.0,2018-10-12,2019-04-10
BELL HELICOPTER TEXTRON INC,BELL HELICOPTER RHODE ISLAND INC,2019-01-10,47,217346.0,,115,217346.0,2018-10-12,2019-04-10
BELL HELICOPTER TEXTRON INC,TEXTRON INNOVATIONS INC,2013-02-15,27,217346.0,217346.0,116,217346.0,2012-11-17,2013-05-16
BELL HELICOPTER TEXTRON INC,TEXTRON INNOVATIONS INC,2018-01-10,24,217346.0,217346.0,117,217346.0,2017-10-12,2018-04-10
BELL HELICOPTER TEXTRON INC,TEXTRON INNOVATIONS INC,2019-01-10,44,217346.0,217346.0,118,217346.0,2018-10-12,2019-04-10
BELL TEXTRON INC,BELL TEXTRON RHODE ISLAND INC,2020-01-01,58,217346.0,217346.0,119,217346.0,2019-10-03,2020-03-31
BELL TEXTRON INC,BELL TEXTRON RHODE ISLAND INC,2021-01-01,64,217346.0,217346.0,120,217346.0,2020-10-03,2021-04-01
BELL TEXTRON INC,BELL TEXTRON RHODE ISLAND INC,2022-01-02,47,217346.0,217346.0,121,217346.0,2021-10-04,2022-04-02
BELL TEXTRON RHODE ISLAND INC,TEXTRON INNOVATIONS INC,2020-01-01,59,217346.0,217346.0,122,217346.0,2019-10-03,2020-03-31
BELL TEXTRON RHODE ISLAND INC,TEXTRON INNOVATIONS INC,2021-01-01,65,217346.0,217346.0,123,217346.0,2020-10-03,2021-04-01
BELL TEXTRON RHODE ISLAND INC,TEXTRON INNOVATIONS INC,2022-01-02,47,217346.0,217346.0,124,217346.0,2021-10-04,2022-04-02
BELLEY MANON,WOLVERINE WORLD WIDE INC,2003-11-11,21,,110471.0,125,110471.0,2003-08-13,2004-02-09
BELLEY MANON,WOLVERINE WORLD WIDE INC,2005-05-30,21,,110471.0,126,110471.0,2005-03-01,2005-08-28
BELLEY MANON,WOLVERINE WORLD WIDE INC,2006-02-10,31,,110471.0,127,110471.0,2005-11-12,2006-05-11
BELLEY MANON,WOLVERINE WORLD WIDE INC,2006-08-07,27,,110471.0,128,110471.0,2006-05-09,2006-11-05
BELLEY MANON,WOLVERINE WORLD WIDE INC,2007-01-19,31,,110471.0,129,110471.0,2006-10-21,2007-04-19
BELLEY MANON,WOLVERINE WORLD WIDE INC,2007-07-04,33,,110471.0,130,110471.0,2007-04-05,2007-10-02
BELLEY MANON,WOLVERINE WORLD WIDE INC,2008-01-15,34,,110471.0,131,110471.0,2007-10-17,2008-04-14
BELLEY MANON,WOLVERINE WORLD WIDE INC,2008-07-23,21,,110471.0,132,110471.0,2008-04-24,2008-10-21
BELLEY MANON,WOLVERINE WORLD WIDE INC,2008-12-19,21,,110471.0,133,110471.0,2008-09-20,2009-03-19
BENENATO KERRY,MODERNATX INC,2018-08-21,20,,1682852.0,134,1682852.0,2018-05-23,2018-11-19
BENHASE MICHAEL T,INTERNATIONAL BUSINESS MACHINES CORPORATION,2013-01-16,20,,51143.0,135,51143.0,2012-10-18,2013-04-16
BENSON JARED T,TMOBILE USA INC,2009-05-07,23,,1283699.0,136,1283699.0,2009-02-06,2009-08-05
BERDICHEVSKY EUGENE,SEURAT TECHNOLOGIES INC,2016-10-27,23,,1321834.0,137,1321834.0,2016-07-29,2017-01-25
BETANCOURT MELVIN,FORD GLOBAL TECHNOLOGIES LLC,2016-12-19,21,,932021.0,138,932021.0,2016-09-20,2017-03-19
BETANCOURT MELVIN,FORD GLOBAL TECHNOLOGIES LLC,2018-03-28,20,,932021.0,139,932021.0,2017-12-28,2018-06-26
BHAMIDIPATI SOMASEKHAR,RIGEL PHARMACEUTICALS INC,2003-03-04,20,,1034842.0,140,1034842.0,2002-12-04,2003-06-02
BHATTACHARYYA ARUP,MICRON TECHNOLOGY INC,2017-07-01,25,,723125.0,141,723125.0,2017-04-02,2017-09-29
BIND THERAPEUTICS INC,PFIZER INC,2016-08-01,40,1001316.0,78003.0,142,1001316.0,2016-05-03,2016-10-30
BIOGEN MA INC,BIOVERATIV THERAPEUTICS INC,2017-01-31,42,875045.0,1001316.0,143,875045.0,2016-11-02,2017-05-01
BIOHAVEN PHARMACEUTICAL HOLDING COMPANY LTD,BIOHAVEN THERAPEUTICS LTD,2020-08-04,20,1935979.0,1935979.0,144,1935979.0,2020-05-06,2020-11-02
BIOVALVE TECHNOLOGIES INC,VALERITAS LLC,2006-08-22,20,1321834.0,,145,1321834.0,2006-05-24,2006-11-20
BISWAS ARNAB,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,2007-04-19,24,,4962.0,146,4962.0,2007-01-19,2007-07-18
BITTING DARYL,EASTMAN CHEMICAL COMPANY,2021-03-26,28,,915389.0,147,915389.0,2020-12-26,2021-06-24
BIVENS JOHN A,INTERNATIONAL BUSINESS MACHINES CORPORATION,2018-07-16,25,,51143.0,148,51143.0,2018-04-17,2018-10-14
BLACKMORE ROBERT S,INTERNATIONAL BUSINESS MACHINES CORPORATION,2008-01-31,23,,51143.0,149,51143.0,2007-11-02,2008-04-30
BLAZING PRODUCTS INC,KING TECHNOLOGY OF MISSOURI INC,2017-11-20,30,,1779474.0,150,1779474.0,2017-08-22,2018-02-18
BLUEDATA SOFTWARE INC,HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP,2019-04-30,32,,1645590.0,151,1645590.0,2019-01-30,2019-07-29
BOE TECHNOLOGY GROUP CO LTD,BEIJING BOE TECHNOLOGY DEVELOPMENT CO LTD,2022-07-26,70,1852440.0,,152,1852440.0,2022-04-27,2022-10-24
BOE TECHNOLOGY GROUP CO LTD,BEIJING BOE TECHNOLOGY DEVELOPMENT CO LTD,2022-08-23,40,1852440.0,,153,1852440.0,2022-05-25,2022-11-21
BOE TECHNOLOGY GROUP CO LTD,BEIJING BOE TECHNOLOGY DEVELOPMENT CO LTD,2022-09-20,62,1852440.0,,154,1852440.0,2022-06-22,2022-12-19
BOE TECHNOLOGY GROUP CO LTD,BEIJING BOE TECHNOLOGY DEVELOPMENT CO LTD,2022-11-01,40,1852440.0,,155,1852440.0,2022-08-03,2023-01-30
BOHM SEBASTIAN,DEXCOM INC,2013-05-22,20,,1093557.0,156,1093557.0,2013-02-21,2013-08-20
BONALLE DAVID S,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,2004-07-15,20,,4962.0,157,4962.0,2004-04-16,2004-10-13
BONALLE DAVID S,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,2004-10-06,37,,4962.0,158,4962.0,2004-07-08,2005-01-04
BONATHAN COLIN R,FORD GLOBAL TECHNOLOGIES LLC,2019-10-08,30,,932021.0,159,932021.0,2019-07-10,2020-01-06
BOYAVAL MARGAUX FRANCES,BECTON DICKINSON AND COMPANY,2012-05-16,20,,10795.0,160,10795.0,2012-02-16,2012-08-14
BOYER BRAD ALAN,FORD GLOBAL TECHNOLOGIES LLC,2016-12-16,21,,932021.0,161,932021.0,2016-09-17,2017-03-16
BRADBURY JONATHAN D,INTERNATIONAL BUSINESS MACHINES CORPORATION,2013-01-23,21,,51143.0,162,51143.0,2012-10-25,2013-04-23
BRANDWINE ERIC JASON,AMAZON TECHNOLOGIES INC,2011-01-14,23,,1321834.0,163,1321834.0,2010-10-16,2011-04-14
BRANDWINE ERIC JASON,AMAZON TECHNOLOGIES INC,2013-04-01,22,,1321834.0,164,1321834.0,2013-01-01,2013-06-30
BRANDWINE ERIC JASON,AMAZON TECHNOLOGIES INC,2013-10-23,22,,1321834.0,165,1321834.0,2013-07-25,2014-01-21
BRAUKER JAMES,DEXCOM INC,2005-03-09,30,,1093557.0,166,1093557.0,2004-12-09,2005-06-07
BRAUKER JAMES H,DEXCOM INC,2004-01-12,58,,1093557.0,167,1093557.0,2003-10-14,2004-04-11
BRAUKER JAMES H,DEXCOM INC,2005-03-25,36,,1093557.0,168,1093557.0,2004-12-25,2005-06-23
BRAUKER JAMES H,DEXCOM INC,2006-07-12,25,,1093557.0,169,1093557.0,2006-04-13,2006-10-10
BRION TECHNOLOGIES INC,ASML NETHERLANDS BV,2010-04-16,22,1809987.0,,170,1809987.0,2010-01-16,2010-07-15
BRISTER MARK,DEXCOM INC,2005-03-09,49,,1093557.0,171,1093557.0,2004-12-09,2005-06-07
BRONCUS TECHNOLOGIES INC,ASTHMATX INC,2003-12-26,24,1321834.0,,172,1321834.0,2003-09-27,2004-03-25
BRONCUS TECHNOLOGIES INC,BRONCUS MEDICAL INC,2012-06-08,23,1321834.0,,173,1321834.0,2012-03-10,2012-09-06
BROVER VYACHESLAV,CERES INC,2006-05-03,23,,14707.0,174,14707.0,2006-02-02,2006-08-01
BROWN STEPHEN C,VIEW INC,2016-03-04,28,,1865429.0,175,1865429.0,2015-12-05,2016-06-02
BUCHER GEORGE,FORD GLOBAL TECHNOLOGIES LLC,2015-10-14,25,,932021.0,176,932021.0,2015-07-16,2016-01-12
BUCHER GEORGE,FORD GLOBAL TECHNOLOGIES LLC,2016-11-01,21,,932021.0,177,932021.0,2016-08-03,2017-01-30
BUCHER GEORGE,FORD GLOBAL TECHNOLOGIES LLC,2017-01-30,31,,932021.0,178,932021.0,2016-11-01,2017-04-30
BUCHER GEORGE,FORD GLOBAL TECHNOLOGIES LLC,2018-01-10,28,,932021.0,179,932021.0,2017-10-12,2018-04-10
BUCHER GEORGE,FORD GLOBAL TECHNOLOGIES LLC,2019-03-21,30,,932021.0,180,932021.0,2018-12-21,2019-06-19
BUER KENNETH V,VIASAT INC,2017-09-13,32,,797721.0,181,797721.0,2017-06-15,2017-12-12
BUSBY DON,BAXTER INTERNATIONAL INC,2005-01-26,28,,10456.0,182,10456.0,2004-10-28,2005-04-26
BUSH WILLIAM H,SONOS INC,2014-06-27,20,,1314727.0,183,1314727.0,2014-03-29,2014-09-25
CACHERIA ANTHONY M III,GANART TECHNOLOGIES INC,2010-01-14,21,,1321834.0,184,1321834.0,2009-10-16,2010-04-14
CADENT LTD,ALIGN TECHNOLOGY INC,2014-10-28,24,,1097149.0,185,1097149.0,2014-07-30,2015-01-26
CALDWELL ANDREW,CADENCE DESIGN SYSTEMS INC,2003-05-08,24,,813672.0,186,813672.0,2003-02-07,2003-08-06
CALYPSO MEDICAL TECHNOLOGIES INC,VARIAN MEDICAL SYSTEMS INC,2011-11-15,44,1321834.0,,187,1321834.0,2011-08-17,2012-02-13
CAMPBELL ANNMARIE,FORMA THERAPEUTICS INC,2016-06-15,20,,1001316.0,188,1001316.0,2016-03-17,2016-09-13
CAMPI JOHN B JR,INTERNATIONAL BUSINESS MACHINES CORPORATION,2014-11-17,21,,51143.0,189,51143.0,2014-08-19,2015-02-15
CANAVOR DARREN ERNEST,AMAZON TECHNOLOGIES INC,2015-03-16,20,,1321834.0,190,1321834.0,2014-12-16,2015-06-14
CAO DENSEN,CAO GROUP INC,2002-07-02,26,,1419559.0,191,1419559.0,2002-04-03,2002-09-30
CAO DENSEN,CAO GROUP INC,2015-05-29,23,,1419559.0,192,1419559.0,2015-02-28,2015-08-27
CAPITAL ONE FINANCIAL CORPORATION,CAPITAL ONE SERVICES LLC,2014-11-18,458,1725033.0,,193,1725033.0,2014-08-20,2015-02-16
CAPITAL ONE FINANCIAL CORPORATION,CAPITAL ONE SERVICES LLC,2017-12-31,237,1725033.0,,194,1725033.0,2017-10-02,2018-03-31
CAPSTONE SURGICAL TECHNOLOGIES LLC,GLOBUS MEDICAL INC,2021-11-04,33,,1237831.0,195,1237831.0,2021-08-06,2022-02-02
CARAVELLA JUSTIN ANDREW,FORMA THERAPEUTICS INC,2016-06-17,20,,1001316.0,196,1001316.0,2016-03-19,2016-09-15
