or_name,ee_name,deal_date,n_patents,seller_cik,buyer_cik,deal_id,filer_cik,sec_start,sec_end,sec_exhibit_count,sec_any_price,sec_any_patent_asset_sale,sec_best_doc_class,sec_best_cik,sec_best_accession,sec_best_document,sec_best_description,sec_best_sec_url,sec_best_transaction_type,sec_best_price_scope,sec_best_price_kind,sec_best_is_patent_asset_sale,sec_best_price_disclosed,sec_best_price_value,sec_best_currency,sec_best_price_raw,sec_best_price_sentence,sec_best_price_unit,sec_best_patent_sale_sentence,sec_best_notes,sec_best_cik_url,sec_best_acc_url,sec_best_cik_norm,sec_best_accession_norm,sec_best_match_rule,sec_best_sec_any_price,sec_best_sec_any_patent_asset_sale,sec_best_type_prio,sec_best_has_sentence,sec_best_sent_len
AMINI PEIMAN,NETGEAR INC,2018-12-18,22,nan,1122904,31,1122904,2018-09-19,2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMIRA PHARMACEUTICALS INC,PANMIRA PHARMACEUTICALS LLC,2011-09-02,54,1904286,nan,32,1904286,2011-06-04,2011-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMKOR TECHNOLOGY INC,AMKOR TECHNOLOGY SINGAPORE HOLDING PTE LTD,2019-01-01,31,1047127,nan,33,1047127,2018-10-03,2019-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMKOR TECHNOLOGY INC,AMKOR TECHNOLOGY SINGAPORE HOLDING PTE LTD,2019-11-19,77,1047127,nan,34,1047127,2019-08-21,2020-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMKOR TECHNOLOGY INC,AMKOR TECHNOLOGY SINGAPORE HOLDING PTELTD,2019-11-19,20,1047127,nan,35,1047127,2019-08-21,2020-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMKOR TECHNOLOGY KOREA INC,AMKOR TECHNOLOGY SINGAPORE HOLDING PTE LTD,2019-12-17,31,1047127,nan,36,1047127,2019-09-18,2020-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN HYEONJEONG,LG ELECTRONICS INC,2017-04-04,33,nan,2058873,37,2058873,2017-01-04,2017-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANALOG DEVICES INC,INVENSENSE INC,2013-10-31,22,6281,nan,38,6281,2013-08-02,2014-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANALOG DEVICES INC,MEDIATEK INC,2008-01-29,26,6281,nan,39,6281,2007-10-31,2008-04-28,4.0,0.0,1.0,asset_purchase,6281.0,95013507007253.0,b67578adexv2w1.htm,"EX-2.1 PURCHASE AND SALE AGREEMENT, DATED SEPTEMBER 9, 2007",https://www.sec.gov/Archives/edgar/data/6281/000095013507007253/b67578adexv2w1.htm,asset_sale_with_ip,business_unit,,1.0,0.0,,USD,,,,"(THE “ BUYER ”) DATED AS OF SEPTEMBER 9, 2007 TABLE OF CONTENTS Page ARTICLE I ASSET PURCHASE 1 1.1 Purchase and Sale of Assets; Assumption of Liabilities 1 1.2 Purchase Price and Related Matters 2 1.3 The Closing 4 1.4 Consents to Assignment 5 1.5 Further Assurances 5 ARTICLE II REPRESENTATIONS AND WARRANTIES OF THE SELLERS 6 2.1 Organization, Qualification and Corporate Power 6 2.2 Authority 7 2.3 Noncontravention 7 2.4 Financial Statements 8 2.5 Absence of Certain Changes 8 2.6 Tangible Personal Property 9 2.7 Leased Real Property 10 2.8 Intellectual Property 10 2.9 Contracts 12 2.10 Entire Business 14 2.11 Litigation 14 2.12 Employment Matters 15 2.13 Employee Benefits 15 2.14 Environmental Matters 16 2.15 Legal Compliance 17 2.16 Legal Permits 18 2.17 Inventory 18 2.18 Warranties 18 2",No explicit consideration sentence found in text.,6281,000095013507007253,6281,000095013507007253,cik+midpoint,0.0,1.0,2.0,0.0,0.0
ANDERSON MOLLY,APPLE INC,2020-06-30,20,nan,320193,40,320193,2020-04-01,2020-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDRE BARTLEY K,APPLE COMPUTER INC,2005-10-20,22,nan,320193,41,320193,2005-07-22,2006-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDRE BARTLEY K,APPLE INC,2007-12-21,29,nan,320193,42,320193,2007-09-22,2008-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDRE BARTLEY K,APPLE INC,2014-12-11,21,nan,320193,43,320193,2014-09-12,2015-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDRE BARTLEY K,APPLE INC,2015-01-19,38,nan,320193,44,320193,2014-10-21,2015-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDRE BARTLEY K,APPLE INC,2020-08-24,20,nan,320193,45,320193,2020-05-26,2020-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDRE BARTLEY K,APPLE INC,2020-11-04,28,nan,320193,46,320193,2020-08-06,2021-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNATI RICHARD E,CATERPILLAR INC,2015-03-06,20,nan,18230,47,18230,2014-12-06,2015-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTENNA DESIGN NEW YORK INC,AMGEN INC,2017-06-28,23,nan,318154,48,318154,2017-03-30,2017-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOYAGI SHOTA,APPLE INC,2014-12-08,21,nan,320193,49,320193,2014-09-09,2015-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOYAGI SHOTA,APPLE INC,2015-01-19,43,nan,320193,50,320193,2014-10-21,2015-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOYAGI SHOTA,APPLE INC,2020-06-30,20,nan,320193,51,320193,2020-04-01,2020-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPLIED MATERIALS INC,SOKUDO CO LTD,2006-07-20,48,6951,nan,52,6951,2006-04-21,2006-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCTIC SAND TECHNOLOGIES INC,PEREGRINE SEMICONDUCTOR CORPORATION,2017-08-14,52,1321834,nan,53,1321834,2017-05-16,2017-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCTURUS BIOSCIENCE INC,MOLECULAR DEVICES CORPORATION,2006-04-03,30,1724521,nan,54,1724521,2006-01-03,2006-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARGADE ANKUSH,RIGEL PHARMACEUTICALS INC,2003-03-04,20,nan,1034842,55,1034842,2002-12-04,2003-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARGUE STUART,WALMART STORES INC,2012-10-31,20,nan,104169,56,104169,2012-08-02,2013-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARGUE STUART,WALMART STORES INC,2012-12-18,20,nan,104169,57,104169,2012-09-19,2013-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARIMILLI LAKSHMINARAYANA B,INTERNATIONAL BUSINESS MACHINES CORPORATION,2008-01-31,25,nan,51143,58,51143,2007-11-02,2008-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARIMILLI RAVI K,INTERNATIONAL BUSINESS MACHINES CORPORATION,1997-04-14,20,nan,51143,59,51143,1997-01-14,1997-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARIMILLI RAVI K,INTERNATIONAL BUSINESS MACHINES CORPORATION,1999-11-08,31,nan,51143,60,51143,1999-08-10,2000-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARIMILLI RAVI K,INTERNATIONAL BUSINESS MACHINES CORPORATION,2008-01-31,65,nan,51143,61,51143,2007-11-02,2008-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARLING PAUL D,UNIVERSAL ELECTRONICS INC,2013-12-23,28,nan,101984,62,101984,2013-09-24,2014-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARNDT RICHARD LOUIS,INTERNATIONAL BUSINESS MACHINES CORPORATION,2005-02-23,20,nan,51143,63,51143,2004-11-25,2005-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARNELL PETER E,PEPSICO INC,2008-12-23,72,nan,77476,64,77476,2008-09-24,2009-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARROWHEAD MADISON INC,ARROWHEAD PHARMACEUTICALS INC,2016-06-20,21,nan,879407,65,879407,2016-03-22,2016-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTERIS SAS,QUALCOMM TECHNOLOGIES INC,2013-10-11,38,nan,1321834,66,1321834,2013-07-13,2014-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARUBA NETWORKS INC,HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP,2017-11-15,33,nan,1645590,67,1645590,2017-08-17,2018-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHCROFT ANTHONY MICHAEL,APPLE INC,2014-12-08,22,nan,320193,68,320193,2014-09-09,2015-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHCROFT ANTHONY MICHAEL,APPLE INC,2015-01-19,38,nan,320193,69,320193,2014-10-21,2015-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHCROFT ANTHONY MICHAEL,APPLE INC,2020-07-01,20,nan,320193,70,320193,2020-04-02,2020-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHWELL SUSAN,FORMA THERAPEUTICS INC,2016-06-16,20,nan,1001316,71,1001316,2016-03-18,2016-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASYST TECHNOLOGIES INC,ENTEGRIS CAYMAN LTD,2003-05-09,24,1321834,nan,72,1321834,2003-02-08,2003-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT DEVELOPMENT SWITZERLAND SÀRL,ADC THERAPEUTICS SA,2016-08-30,20,nan,1771910,73,1771910,2016-06-01,2016-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATHENA NEUROSCIENCES INC,ELAN PHARMACEUTICALS INC,2009-09-16,21,nan,1023024,74,1023024,2009-06-18,2009-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATT CORP,LUCENT TECHNOLOGIES INC,1996-03-29,113,nan,1726079,75,1726079,1995-12-30,1996-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATT DELAWARE INTELLECTUAL PROPERTY INC,ATT INTELLECTUAL PROPERTY I LP,2008-06-30,55,732717,nan,76,732717,2008-04-01,2008-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATT DELAWARE INTELLECTUAL PROPERTY INC,ATT INTELLECTUAL PROPERTY I LP,2009-08-24,54,732717,nan,77,732717,2009-05-26,2009-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATT DELAWARE INTELLECTUAL PROPERTY INC,ATT INTELLECTUAL PROPERTY I LP,2012-01-31,31,732717,nan,78,732717,2011-11-02,2012-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATT DELAWARE INTELLECTUAL PROPERTY INC,ATT INTELLECTUAL PROPERTY I LP,2013-05-08,119,732717,nan,79,732717,2013-02-07,2013-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATT DELAWARE INTELLECTUAL PROPERTY INC FKA ATT BLS INTELLECTUAL PROPERTY INC FKA ATT INTELLECTUAL PROPERTY INC FKA BELLSOUTH INTELLECTUAL PROPERTY CORPORATION,ATT INTELLECTUAL PROPERTY I LP,2008-12-10,51,732717,nan,80,732717,2008-09-11,2009-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATT DELAWARE INTELLECTUAL PROPERTY INC FORMERLY KNOWN AS ATT BLS INTELLECTUAL PROPERTY INC WHICH WAS FORMERLY KNOWN AS ATT INTELLECTUAL PROPERTY INC WHICH WAS FORMERLY KNOWN AS BELLSOUTH INTELLECTUAL PROPERTY CORPORATION,ATT INTELLECTUAL PROPERTY I LP,2008-10-15,32,732717,nan,81,732717,2008-07-17,2009-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BABIARZ JOSHUA,NATERA INC,2015-04-20,32,nan,1604821,82,1604821,2015-01-20,2015-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAE JAEIL,LG ELECTRONICS INC,2020-02-07,37,nan,2058873,83,2058873,2019-11-09,2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAE SEHWAN,LG ELECTRONICS INC,2020-01-08,24,nan,2058873,84,2058873,2019-10-10,2020-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC,FRANTORF INVESTMENTS GMBH LLC,2008-08-26,35,708781,nan,85,708781,2008-05-28,2008-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC,WISTERIUM DEVELOPMENT LLC,2009-07-23,24,708781,nan,86,708781,2009-04-24,2009-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAE YONGJUN,LG ELECTRONICS INC,2021-03-30,40,nan,2058873,87,2058873,2020-12-30,2021-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAI AILIN,MODERNATX INC,2018-08-31,22,nan,1682852,88,1682852,2018-06-02,2018-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAKKE BRIAN E,INTERNATIONAL BUSINESS MACHINES CORPORATION,2014-11-19,24,nan,51143,89,51143,2014-08-21,2015-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLARD POWER SYSTEMS INC,AUDI AG,2015-05-06,23,1453015,nan,90,1453015,2015-02-05,2015-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAMBROGAN BROGAN,HYPERLOOP TECHNOLOGIES INC,2016-01-26,24,nan,1321834,91,1321834,2015-10-28,2016-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANIK GARY J,WOLVERINE WORLD WIDE INC,2008-01-10,20,nan,110471,92,110471,2007-10-12,2008-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKER ADAM NATHAN,FORD GLOBAL TECHNOLOGIES LLC,2013-01-22,27,nan,932021,93,932021,2012-10-24,2013-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASSO ANDREA,ATT LABS INC,2008-07-21,25,nan,732717,94,732717,2008-04-22,2008-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATAILLE MARINE C,APPLE INC,2020-07-01,20,nan,320193,95,320193,2020-04-02,2020-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATAILLOU JEREMY,APPLE INC,2014-12-09,21,nan,320193,96,320193,2014-09-10,2015-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATAILLOU JEREMY,APPLE INC,2015-01-26,39,nan,320193,97,320193,2014-10-28,2015-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATAILLOU JEREMY,APPLE INC,2020-08-12,20,nan,320193,98,320193,2020-05-14,2020-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
