or_name,ee_name,deal_date,n_patents,seller_cik,buyer_cik,deal_id,filer_cik,sec_start,sec_end,any_sec_exhibit,any_sec_price,any_patent_asset_sale
AKANA JODY,APPLE INC,2020-06-29,20,nan,320193,16,320193,2020-03-31,2020-09-27,0,0,0
AKRION INC,AKRION TECHNOLOGIES INC,2005-01-25,24,nan,1964979,17,1964979,2004-10-27,2005-04-25,0,0,0
ALCES TECHNOLOGY INC,MANTISVISION LTD,2018-04-06,29,1779474,nan,18,1779474,2018-01-06,2018-07-05,0,0,0
ALDEN DON,PELIKAN TECHNOLOGIES INC,2003-02-13,21,nan,1321834,19,1321834,2002-11-15,2003-05-14,0,0,0
ALETTY ASHOK,BEA SYSTEMS INC,2005-07-25,25,nan,1352010,20,1352010,2005-04-26,2005-10-23,0,0,0
ALEXANDROV NICKOLAI,CERES INC,2006-05-03,23,nan,14707,21,14707,2006-02-02,2006-08-01,0,0,0
ALHUSSIEN ABDELHAKIM S,MICRON TECHNOLOGY INC,2020-08-11,26,nan,723125,22,723125,2020-05-13,2020-11-09,0,0,0
ALIBABA GROUP HOLDING LIMITED,ADVANTAGEOUS NEW TECHNOLOGIES CO LTD,2020-08-26,298,1577552,nan,23,1577552,2020-05-28,2020-11-24,0,0,0
ALNYLAM PHARMACEUTICALS INC,TEKMIRA PHARMACEUTICALS CORPORATION,2012-12-05,38,1178670,nan,24,1178670,2012-09-06,2013-03-05,0,0,0
ALTUS TECHNOLOGY INC,HON HAI PRECISION INDUSTRY CO LTD,2012-09-28,22,1962746,nan,25,1962746,2012-06-30,2012-12-27,0,0,0
ALVEOLUS INC,MERIT MEDICAL SYSTEMS INC,2009-03-10,30,nan,856982,26,856982,2008-12-10,2009-06-08,2,1,1
AMAZONCOM INC,A9COM INC,2004-08-10,20,1018724,nan,27,1018724,2004-05-12,2004-11-08,0,0,0
AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,III HOLDINGS 1 LLC,2014-03-24,81,4962,nan,28,4962,2013-12-24,2014-06-22,0,0,0
AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,XATRA FUND MX LLC,2007-10-17,26,4962,nan,29,4962,2007-07-19,2008-01-15,0,0,0
AMERICAN MEDICAL SYSTEMS INC,AMS RESEARCH CORPORATION,2003-07-14,21,856982,nan,30,856982,2003-04-15,2003-10-12,0,0,0
AMINI PEIMAN,NETGEAR INC,2018-12-18,22,nan,1122904,31,1122904,2018-09-19,2019-03-18,0,0,0
AMIRA PHARMACEUTICALS INC,PANMIRA PHARMACEUTICALS LLC,2011-09-02,54,1904286,nan,32,1904286,2011-06-04,2011-12-01,0,0,0
AMKOR TECHNOLOGY INC,AMKOR TECHNOLOGY SINGAPORE HOLDING PTE LTD,2019-01-01,31,1047127,nan,33,1047127,2018-10-03,2019-04-01,0,0,0
AMKOR TECHNOLOGY INC,AMKOR TECHNOLOGY SINGAPORE HOLDING PTE LTD,2019-11-19,77,1047127,nan,34,1047127,2019-08-21,2020-02-17,0,0,0
AMKOR TECHNOLOGY INC,AMKOR TECHNOLOGY SINGAPORE HOLDING PTELTD,2019-11-19,20,1047127,nan,35,1047127,2019-08-21,2020-02-17,0,0,0
AMKOR TECHNOLOGY KOREA INC,AMKOR TECHNOLOGY SINGAPORE HOLDING PTE LTD,2019-12-17,31,1047127,nan,36,1047127,2019-09-18,2020-03-16,0,0,0
AN HYEONJEONG,LG ELECTRONICS INC,2017-04-04,33,nan,2058873,37,2058873,2017-01-04,2017-07-03,0,0,0
ANALOG DEVICES INC,INVENSENSE INC,2013-10-31,22,6281,nan,38,6281,2013-08-02,2014-01-29,0,0,0
ANALOG DEVICES INC,MEDIATEK INC,2008-01-29,26,6281,nan,39,6281,2007-10-31,2008-04-28,4,0,1
ANDERSON MOLLY,APPLE INC,2020-06-30,20,nan,320193,40,320193,2020-04-01,2020-09-28,0,0,0
ANDRE BARTLEY K,APPLE COMPUTER INC,2005-10-20,22,nan,320193,41,320193,2005-07-22,2006-01-18,0,0,0
ANDRE BARTLEY K,APPLE INC,2007-12-21,29,nan,320193,42,320193,2007-09-22,2008-03-20,0,0,0
ANDRE BARTLEY K,APPLE INC,2014-12-11,21,nan,320193,43,320193,2014-09-12,2015-03-11,0,0,0
ANDRE BARTLEY K,APPLE INC,2015-01-19,38,nan,320193,44,320193,2014-10-21,2015-04-19,0,0,0
ANDRE BARTLEY K,APPLE INC,2020-08-24,20,nan,320193,45,320193,2020-05-26,2020-11-22,0,0,0
ANDRE BARTLEY K,APPLE INC,2020-11-04,28,nan,320193,46,320193,2020-08-06,2021-02-02,0,0,0
ANNATI RICHARD E,CATERPILLAR INC,2015-03-06,20,nan,18230,47,18230,2014-12-06,2015-06-04,0,0,0
ANTENNA DESIGN NEW YORK INC,AMGEN INC,2017-06-28,23,nan,318154,48,318154,2017-03-30,2017-09-26,0,0,0
AOYAGI SHOTA,APPLE INC,2014-12-08,21,nan,320193,49,320193,2014-09-09,2015-03-08,0,0,0
AOYAGI SHOTA,APPLE INC,2015-01-19,43,nan,320193,50,320193,2014-10-21,2015-04-19,0,0,0
AOYAGI SHOTA,APPLE INC,2020-06-30,20,nan,320193,51,320193,2020-04-01,2020-09-28,0,0,0
APPLIED MATERIALS INC,SOKUDO CO LTD,2006-07-20,48,6951,nan,52,6951,2006-04-21,2006-10-18,0,0,0
ARCTIC SAND TECHNOLOGIES INC,PEREGRINE SEMICONDUCTOR CORPORATION,2017-08-14,52,1321834,nan,53,1321834,2017-05-16,2017-11-12,0,0,0
ARCTURUS BIOSCIENCE INC,MOLECULAR DEVICES CORPORATION,2006-04-03,30,1724521,nan,54,1724521,2006-01-03,2006-07-02,0,0,0
ARGADE ANKUSH,RIGEL PHARMACEUTICALS INC,2003-03-04,20,nan,1034842,55,1034842,2002-12-04,2003-06-02,0,0,0
ARGUE STUART,WALMART STORES INC,2012-10-31,20,nan,104169,56,104169,2012-08-02,2013-01-29,0,0,0
ARGUE STUART,WALMART STORES INC,2012-12-18,20,nan,104169,57,104169,2012-09-19,2013-03-18,0,0,0
ARIMILLI LAKSHMINARAYANA B,INTERNATIONAL BUSINESS MACHINES CORPORATION,2008-01-31,25,nan,51143,58,51143,2007-11-02,2008-04-30,0,0,0
ARIMILLI RAVI K,INTERNATIONAL BUSINESS MACHINES CORPORATION,1997-04-14,20,nan,51143,59,51143,1997-01-14,1997-07-13,0,0,0
ARIMILLI RAVI K,INTERNATIONAL BUSINESS MACHINES CORPORATION,1999-11-08,31,nan,51143,60,51143,1999-08-10,2000-02-06,0,0,0
ARIMILLI RAVI K,INTERNATIONAL BUSINESS MACHINES CORPORATION,2008-01-31,65,nan,51143,61,51143,2007-11-02,2008-04-30,0,0,0
ARLING PAUL D,UNIVERSAL ELECTRONICS INC,2013-12-23,28,nan,101984,62,101984,2013-09-24,2014-03-23,0,0,0
ARNDT RICHARD LOUIS,INTERNATIONAL BUSINESS MACHINES CORPORATION,2005-02-23,20,nan,51143,63,51143,2004-11-25,2005-05-24,0,0,0
ARNELL PETER E,PEPSICO INC,2008-12-23,72,nan,77476,64,77476,2008-09-24,2009-03-23,0,0,0
ARROWHEAD MADISON INC,ARROWHEAD PHARMACEUTICALS INC,2016-06-20,21,nan,879407,65,879407,2016-03-22,2016-09-18,0,0,0
ARTERIS SAS,QUALCOMM TECHNOLOGIES INC,2013-10-11,38,nan,1321834,66,1321834,2013-07-13,2014-01-09,0,0,0
ARUBA NETWORKS INC,HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP,2017-11-15,33,nan,1645590,67,1645590,2017-08-17,2018-02-13,0,0,0
ASHCROFT ANTHONY MICHAEL,APPLE INC,2014-12-08,22,nan,320193,68,320193,2014-09-09,2015-03-08,0,0,0
ASHCROFT ANTHONY MICHAEL,APPLE INC,2015-01-19,38,nan,320193,69,320193,2014-10-21,2015-04-19,0,0,0
ASHCROFT ANTHONY MICHAEL,APPLE INC,2020-07-01,20,nan,320193,70,320193,2020-04-02,2020-09-29,0,0,0
ASHWELL SUSAN,FORMA THERAPEUTICS INC,2016-06-16,20,nan,1001316,71,1001316,2016-03-18,2016-09-14,0,0,0
ASYST TECHNOLOGIES INC,ENTEGRIS CAYMAN LTD,2003-05-09,24,1321834,nan,72,1321834,2003-02-08,2003-08-07,0,0,0
AT DEVELOPMENT SWITZERLAND SÀRL,ADC THERAPEUTICS SA,2016-08-30,20,nan,1771910,73,1771910,2016-06-01,2016-11-28,0,0,0
ATHENA NEUROSCIENCES INC,ELAN PHARMACEUTICALS INC,2009-09-16,21,nan,1023024,74,1023024,2009-06-18,2009-12-15,0,0,0
ATT CORP,LUCENT TECHNOLOGIES INC,1996-03-29,113,nan,1726079,75,1726079,1995-12-30,1996-06-27,0,0,0
ATT DELAWARE INTELLECTUAL PROPERTY INC,ATT INTELLECTUAL PROPERTY I LP,2008-06-30,55,732717,nan,76,732717,2008-04-01,2008-09-28,0,0,0
ATT DELAWARE INTELLECTUAL PROPERTY INC,ATT INTELLECTUAL PROPERTY I LP,2009-08-24,54,732717,nan,77,732717,2009-05-26,2009-11-22,0,0,0
ATT DELAWARE INTELLECTUAL PROPERTY INC,ATT INTELLECTUAL PROPERTY I LP,2012-01-31,31,732717,nan,78,732717,2011-11-02,2012-04-30,0,0,0
ATT DELAWARE INTELLECTUAL PROPERTY INC,ATT INTELLECTUAL PROPERTY I LP,2013-05-08,119,732717,nan,79,732717,2013-02-07,2013-08-06,0,0,0
ATT DELAWARE INTELLECTUAL PROPERTY INC FKA ATT BLS INTELLECTUAL PROPERTY INC FKA ATT INTELLECTUAL PROPERTY INC FKA BELLSOUTH INTELLECTUAL PROPERTY CORPORATION,ATT INTELLECTUAL PROPERTY I LP,2008-12-10,51,732717,nan,80,732717,2008-09-11,2009-03-10,0,0,0
ATT DELAWARE INTELLECTUAL PROPERTY INC FORMERLY KNOWN AS ATT BLS INTELLECTUAL PROPERTY INC WHICH WAS FORMERLY KNOWN AS ATT INTELLECTUAL PROPERTY INC WHICH WAS FORMERLY KNOWN AS BELLSOUTH INTELLECTUAL PROPERTY CORPORATION,ATT INTELLECTUAL PROPERTY I LP,2008-10-15,32,732717,nan,81,732717,2008-07-17,2009-01-13,0,0,0
BABIARZ JOSHUA,NATERA INC,2015-04-20,32,nan,1604821,82,1604821,2015-01-20,2015-07-19,0,0,0
BAE JAEIL,LG ELECTRONICS INC,2020-02-07,37,nan,2058873,83,2058873,2019-11-09,2020-05-07,0,0,0
BAE SEHWAN,LG ELECTRONICS INC,2020-01-08,24,nan,2058873,84,2058873,2019-10-10,2020-04-07,0,0,0
BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC,FRANTORF INVESTMENTS GMBH LLC,2008-08-26,35,708781,nan,85,708781,2008-05-28,2008-11-24,0,0,0
BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC,WISTERIUM DEVELOPMENT LLC,2009-07-23,24,708781,nan,86,708781,2009-04-24,2009-10-21,0,0,0
BAE YONGJUN,LG ELECTRONICS INC,2021-03-30,40,nan,2058873,87,2058873,2020-12-30,2021-06-28,0,0,0
BAI AILIN,MODERNATX INC,2018-08-31,22,nan,1682852,88,1682852,2018-06-02,2018-11-29,0,0,0
BAKKE BRIAN E,INTERNATIONAL BUSINESS MACHINES CORPORATION,2014-11-19,24,nan,51143,89,51143,2014-08-21,2015-02-17,0,0,0
BALLARD POWER SYSTEMS INC,AUDI AG,2015-05-06,23,1453015,nan,90,1453015,2015-02-05,2015-08-04,0,0,0
BAMBROGAN BROGAN,HYPERLOOP TECHNOLOGIES INC,2016-01-26,24,nan,1321834,91,1321834,2015-10-28,2016-04-25,0,0,0
BANIK GARY J,WOLVERINE WORLD WIDE INC,2008-01-10,20,nan,110471,92,110471,2007-10-12,2008-04-09,0,0,0
BANKER ADAM NATHAN,FORD GLOBAL TECHNOLOGIES LLC,2013-01-22,27,nan,932021,93,932021,2012-10-24,2013-04-22,0,0,0
BASSO ANDREA,ATT LABS INC,2008-07-21,25,nan,732717,94,732717,2008-04-22,2008-10-19,0,0,0
BATAILLE MARINE C,APPLE INC,2020-07-01,20,nan,320193,95,320193,2020-04-02,2020-09-29,0,0,0
BATAILLOU JEREMY,APPLE INC,2014-12-09,21,nan,320193,96,320193,2014-09-10,2015-03-09,0,0,0
BATAILLOU JEREMY,APPLE INC,2015-01-26,39,nan,320193,97,320193,2014-10-28,2015-04-26,0,0,0
BATAILLOU JEREMY,APPLE INC,2020-08-12,20,nan,320193,98,320193,2020-05-14,2020-11-10,0,0,0
BATAILLOU JEREMY,APPLE INC,2020-11-30,27,nan,320193,99,320193,2020-09-01,2021-02-28,0,0,0
BATTEY ROBERT J,STEELCASE INC,2012-10-29,22,nan,1050825,100,1050825,2012-07-31,2013-01-27,0,0,0
BAXTER INTERNATIONAL INC,BAXALTA GMBH,2015-08-11,121,10456,nan,101,10456,2015-05-13,2015-11-09,1,0,0
BAXTER INTERNATIONAL INC,BAXALTA INCORPORATED,2015-08-11,121,10456,nan,102,10456,2015-05-13,2015-11-09,0,0,0
BAYS F BARRY,TREACE MEDICAL CONCEPTS INC,2016-10-18,23,nan,1630627,103,1630627,2016-07-20,2017-01-16,0,0,0
BAZINSKI ANDREW,FORD GLOBAL TECHNOLOGIES LLC,2019-03-27,23,nan,932021,104,932021,2018-12-27,2019-06-25,0,0,0
BEAMAN BRIAN S,INTERNATIONAL BUSINESS MACHINES CORPORATION,1993-05-04,38,nan,51143,105,51143,1993-02-03,1993-08-02,0,0,0
BEAUSOLEIL SEAN,DROPBOX INC,2016-02-19,20,nan,1467623,106,1467623,2015-11-21,2016-05-19,0,0,0
BECKMAN BRIAN C,AMAZON TECHNOLOGIES INC,2016-01-15,20,nan,1321834,107,1321834,2015-10-17,2016-04-14,0,0,0
BEE JENNIFER,NIKE INC,2018-10-26,20,nan,320187,108,320187,2018-07-28,2019-01-24,0,0,0
BEENAU BLAYN W,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,2004-07-01,20,nan,4962,109,4962,2004-04-02,2004-09-29,0,0,0
BEHMER DARRELL P,FORD GLOBAL TECHNOLOGIES LLC,2016-12-19,21,nan,932021,110,932021,2016-09-20,2017-03-19,0,0,0
BEHMER DARRELL P,FORD GLOBAL TECHNOLOGIES LLC,2018-03-28,20,nan,932021,111,932021,2017-12-28,2018-06-26,0,0,0
BEHMER DARRELL PAUL,FORD GLOBAL TECHNOLOGIES LLC,2016-01-05,23,nan,932021,112,932021,2015-10-07,2016-04-04,0,0,0
BELL HELICOPTER RHODE ISLAND INC,TEXTRON INNOVATIONS INC,2018-01-10,21,nan,217346,113,217346,2017-10-12,2018-04-10,0,0,0
BELL HELICOPTER RHODE ISLAND INC,TEXTRON INNOVATIONS INC,2019-01-10,49,nan,217346,114,217346,2018-10-12,2019-04-10,0,0,0
BELL HELICOPTER TEXTRON INC,BELL HELICOPTER RHODE ISLAND INC,2019-01-10,47,217346,nan,115,217346,2018-10-12,2019-04-10,0,0,0
BELL HELICOPTER TEXTRON INC,TEXTRON INNOVATIONS INC,2013-02-15,27,217346,217346,116,217346,2012-11-17,2013-05-16,0,0,0
BELL HELICOPTER TEXTRON INC,TEXTRON INNOVATIONS INC,2018-01-10,24,217346,217346,117,217346,2017-10-12,2018-04-10,0,0,0
BELL HELICOPTER TEXTRON INC,TEXTRON INNOVATIONS INC,2019-01-10,44,217346,217346,118,217346,2018-10-12,2019-04-10,0,0,0
BELL TEXTRON INC,BELL TEXTRON RHODE ISLAND INC,2020-01-01,58,217346,217346,119,217346,2019-10-03,2020-03-31,0,0,0
BELL TEXTRON INC,BELL TEXTRON RHODE ISLAND INC,2021-01-01,64,217346,217346,120,217346,2020-10-03,2021-04-01,0,0,0
BELL TEXTRON INC,BELL TEXTRON RHODE ISLAND INC,2022-01-02,47,217346,217346,121,217346,2021-10-04,2022-04-02,0,0,0
BELL TEXTRON RHODE ISLAND INC,TEXTRON INNOVATIONS INC,2020-01-01,59,217346,217346,122,217346,2019-10-03,2020-03-31,0,0,0
BELL TEXTRON RHODE ISLAND INC,TEXTRON INNOVATIONS INC,2021-01-01,65,217346,217346,123,217346,2020-10-03,2021-04-01,0,0,0
BELL TEXTRON RHODE ISLAND INC,TEXTRON INNOVATIONS INC,2022-01-02,47,217346,217346,124,217346,2021-10-04,2022-04-02,0,0,0
BELLEY MANON,WOLVERINE WORLD WIDE INC,2003-11-11,21,nan,110471,125,110471,2003-08-13,2004-02-09,0,0,0
BELLEY MANON,WOLVERINE WORLD WIDE INC,2005-05-30,21,nan,110471,126,110471,2005-03-01,2005-08-28,0,0,0
BELLEY MANON,WOLVERINE WORLD WIDE INC,2006-02-10,31,nan,110471,127,110471,2005-11-12,2006-05-11,0,0,0
BELLEY MANON,WOLVERINE WORLD WIDE INC,2006-08-07,27,nan,110471,128,110471,2006-05-09,2006-11-05,0,0,0
BELLEY MANON,WOLVERINE WORLD WIDE INC,2007-01-19,31,nan,110471,129,110471,2006-10-21,2007-04-19,0,0,0
BELLEY MANON,WOLVERINE WORLD WIDE INC,2007-07-04,33,nan,110471,130,110471,2007-04-05,2007-10-02,0,0,0
BELLEY MANON,WOLVERINE WORLD WIDE INC,2008-01-15,34,nan,110471,131,110471,2007-10-17,2008-04-14,0,0,0
BELLEY MANON,WOLVERINE WORLD WIDE INC,2008-07-23,21,nan,110471,132,110471,2008-04-24,2008-10-21,0,0,0
BELLEY MANON,WOLVERINE WORLD WIDE INC,2008-12-19,21,nan,110471,133,110471,2008-09-20,2009-03-19,0,0,0
BENENATO KERRY,MODERNATX INC,2018-08-21,20,nan,1682852,134,1682852,2018-05-23,2018-11-19,0,0,0
BENHASE MICHAEL T,INTERNATIONAL BUSINESS MACHINES CORPORATION,2013-01-16,20,nan,51143,135,51143,2012-10-18,2013-04-16,0,0,0
BENSON JARED T,TMOBILE USA INC,2009-05-07,23,nan,1283699,136,1283699,2009-02-06,2009-08-05,0,0,0
BERDICHEVSKY EUGENE,SEURAT TECHNOLOGIES INC,2016-10-27,23,nan,1321834,137,1321834,2016-07-29,2017-01-25,0,0,0
BETANCOURT MELVIN,FORD GLOBAL TECHNOLOGIES LLC,2016-12-19,21,nan,932021,138,932021,2016-09-20,2017-03-19,0,0,0
BETANCOURT MELVIN,FORD GLOBAL TECHNOLOGIES LLC,2018-03-28,20,nan,932021,139,932021,2017-12-28,2018-06-26,0,0,0
BHAMIDIPATI SOMASEKHAR,RIGEL PHARMACEUTICALS INC,2003-03-04,20,nan,1034842,140,1034842,2002-12-04,2003-06-02,0,0,0
BHATTACHARYYA ARUP,MICRON TECHNOLOGY INC,2017-07-01,25,nan,723125,141,723125,2017-04-02,2017-09-29,0,0,0
BIND THERAPEUTICS INC,PFIZER INC,2016-08-01,40,1001316,78003,142,1001316,2016-05-03,2016-10-30,0,0,0
BIOGEN MA INC,BIOVERATIV THERAPEUTICS INC,2017-01-31,42,875045,1001316,143,875045,2016-11-02,2017-05-01,1,0,0
BIOHAVEN PHARMACEUTICAL HOLDING COMPANY LTD,BIOHAVEN THERAPEUTICS LTD,2020-08-04,20,1935979,1935979,144,1935979,2020-05-06,2020-11-02,0,0,0
BIOVALVE TECHNOLOGIES INC,VALERITAS LLC,2006-08-22,20,1321834,nan,145,1321834,2006-05-24,2006-11-20,0,0,0
BISWAS ARNAB,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,2007-04-19,24,nan,4962,146,4962,2007-01-19,2007-07-18,0,0,0
BITTING DARYL,EASTMAN CHEMICAL COMPANY,2021-03-26,28,nan,915389,147,915389,2020-12-26,2021-06-24,0,0,0
BIVENS JOHN A,INTERNATIONAL BUSINESS MACHINES CORPORATION,2018-07-16,25,nan,51143,148,51143,2018-04-17,2018-10-14,0,0,0
BLACKMORE ROBERT S,INTERNATIONAL BUSINESS MACHINES CORPORATION,2008-01-31,23,nan,51143,149,51143,2007-11-02,2008-04-30,0,0,0
BLAZING PRODUCTS INC,KING TECHNOLOGY OF MISSOURI INC,2017-11-20,30,nan,1779474,150,1779474,2017-08-22,2018-02-18,0,0,0
BLUEDATA SOFTWARE INC,HEWLETT PACKARD ENTERPRISE DEVELOPMENT LP,2019-04-30,32,nan,1645590,151,1645590,2019-01-30,2019-07-29,0,0,0
BOE TECHNOLOGY GROUP CO LTD,BEIJING BOE TECHNOLOGY DEVELOPMENT CO LTD,2022-07-26,70,1852440,nan,152,1852440,2022-04-27,2022-10-24,0,0,0
BOE TECHNOLOGY GROUP CO LTD,BEIJING BOE TECHNOLOGY DEVELOPMENT CO LTD,2022-08-23,40,1852440,nan,153,1852440,2022-05-25,2022-11-21,0,0,0
BOE TECHNOLOGY GROUP CO LTD,BEIJING BOE TECHNOLOGY DEVELOPMENT CO LTD,2022-09-20,62,1852440,nan,154,1852440,2022-06-22,2022-12-19,0,0,0
BOE TECHNOLOGY GROUP CO LTD,BEIJING BOE TECHNOLOGY DEVELOPMENT CO LTD,2022-11-01,40,1852440,nan,155,1852440,2022-08-03,2023-01-30,0,0,0
BOHM SEBASTIAN,DEXCOM INC,2013-05-22,20,nan,1093557,156,1093557,2013-02-21,2013-08-20,0,0,0
BONALLE DAVID S,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,2004-07-15,20,nan,4962,157,4962,2004-04-16,2004-10-13,0,0,0
BONALLE DAVID S,AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY INC,2004-10-06,37,nan,4962,158,4962,2004-07-08,2005-01-04,0,0,0
BONATHAN COLIN R,FORD GLOBAL TECHNOLOGIES LLC,2019-10-08,30,nan,932021,159,932021,2019-07-10,2020-01-06,0,0,0
BOYAVAL MARGAUX FRANCES,BECTON DICKINSON AND COMPANY,2012-05-16,20,nan,10795,160,10795,2012-02-16,2012-08-14,0,0,0
BOYER BRAD ALAN,FORD GLOBAL TECHNOLOGIES LLC,2016-12-16,21,nan,932021,161,932021,2016-09-17,2017-03-16,0,0,0
BRADBURY JONATHAN D,INTERNATIONAL BUSINESS MACHINES CORPORATION,2013-01-23,21,nan,51143,162,51143,2012-10-25,2013-04-23,0,0,0
BRANDWINE ERIC JASON,AMAZON TECHNOLOGIES INC,2011-01-14,23,nan,1321834,163,1321834,2010-10-16,2011-04-14,0,0,0
BRANDWINE ERIC JASON,AMAZON TECHNOLOGIES INC,2013-04-01,22,nan,1321834,164,1321834,2013-01-01,2013-06-30,0,0,0
BRANDWINE ERIC JASON,AMAZON TECHNOLOGIES INC,2013-10-23,22,nan,1321834,165,1321834,2013-07-25,2014-01-21,0,0,0
BRAUKER JAMES,DEXCOM INC,2005-03-09,30,nan,1093557,166,1093557,2004-12-09,2005-06-07,0,0,0
BRAUKER JAMES H,DEXCOM INC,2004-01-12,58,nan,1093557,167,1093557,2003-10-14,2004-04-11,1,0,0
BRAUKER JAMES H,DEXCOM INC,2005-03-25,36,nan,1093557,168,1093557,2004-12-25,2005-06-23,0,0,0
BRAUKER JAMES H,DEXCOM INC,2006-07-12,25,nan,1093557,169,1093557,2006-04-13,2006-10-10,0,0,0
BRION TECHNOLOGIES INC,ASML NETHERLANDS BV,2010-04-16,22,1809987,nan,170,1809987,2010-01-16,2010-07-15,0,0,0
BRISTER MARK,DEXCOM INC,2005-03-09,49,nan,1093557,171,1093557,2004-12-09,2005-06-07,0,0,0
BRONCUS TECHNOLOGIES INC,ASTHMATX INC,2003-12-26,24,1321834,nan,172,1321834,2003-09-27,2004-03-25,0,0,0
BRONCUS TECHNOLOGIES INC,BRONCUS MEDICAL INC,2012-06-08,23,1321834,nan,173,1321834,2012-03-10,2012-09-06,0,0,0
BROVER VYACHESLAV,CERES INC,2006-05-03,23,nan,14707,174,14707,2006-02-02,2006-08-01,0,0,0
BROWN STEPHEN C,VIEW INC,2016-03-04,28,nan,1865429,175,1865429,2015-12-05,2016-06-02,0,0,0
BUCHER GEORGE,FORD GLOBAL TECHNOLOGIES LLC,2015-10-14,25,nan,932021,176,932021,2015-07-16,2016-01-12,0,0,0
BUCHER GEORGE,FORD GLOBAL TECHNOLOGIES LLC,2016-11-01,21,nan,932021,177,932021,2016-08-03,2017-01-30,0,0,0
BUCHER GEORGE,FORD GLOBAL TECHNOLOGIES LLC,2017-01-30,31,nan,932021,178,932021,2016-11-01,2017-04-30,0,0,0
BUCHER GEORGE,FORD GLOBAL TECHNOLOGIES LLC,2018-01-10,28,nan,932021,179,932021,2017-10-12,2018-04-10,0,0,0
BUCHER GEORGE,FORD GLOBAL TECHNOLOGIES LLC,2019-03-21,30,nan,932021,180,932021,2018-12-21,2019-06-19,0,0,0
BUER KENNETH V,VIASAT INC,2017-09-13,32,nan,797721,181,797721,2017-06-15,2017-12-12,0,0,0
BUSBY DON,BAXTER INTERNATIONAL INC,2005-01-26,28,nan,10456,182,10456,2004-10-28,2005-04-26,0,0,0
BUSH WILLIAM H,SONOS INC,2014-06-27,20,nan,1314727,183,1314727,2014-03-29,2014-09-25,0,0,0
CACHERIA ANTHONY M III,GANART TECHNOLOGIES INC,2010-01-14,21,nan,1321834,184,1321834,2009-10-16,2010-04-14,0,0,0
CADENT LTD,ALIGN TECHNOLOGY INC,2014-10-28,24,nan,1097149,185,1097149,2014-07-30,2015-01-26,0,0,0
